path,bytes,sha256
Results\Presentation_Evidence\Figures\34_12_ag_group_counts.png,92738,ed8bc462c0152d65ce7d1d44bf055fbb2d451b5556dcc53743803952c6053a1d
Results\Presentation_Evidence\Figures\34_13_ag_group_mean_phq9.png,83091,f857dc3c845546a567e6fd161cf81e41279dfb48b9e0d6bd937a0a3d20faf9a7
Results\Presentation_Evidence\Figures\34_14_discovery_primary_effects.png,103636,942f019e1e868f7e4526cab4fbb5e8744a33a4ba63f8d17788fbf25f110bd6bc
Results\Presentation_Evidence\Figures\34_15_incremental_weighted_R2.png,153673,b2df4fb52dfcc0e1a081ff170e943a3c2b0620b750cc37d9f1599c93bbba140e
Results\Presentation_Evidence\Figures\34_16_cfa_model_comparison.png,99869,921e69fd280939a9be3e1a315e7cc0352d53960aee575bd5394ca4d0172e629e
Results\Presentation_Evidence\Figures\34_17_somatic_factor_loadings.png,107438,f5e0f3c1d1a173fc5c4f46736253744c163cd4c8fca62703b1eab276e5461745
Results\Presentation_Evidence\Figures\34_18_mimic_somatic_paths.png,107994,0a5cda610b65d85d84d729a78aa194690dee1434c2446caa09abb83e136db963
Results\Presentation_Evidence\Figures\34_19_fasting_glucose_sensitivity.png,94248,0f7aa6f0e643c8dee1f65b2e5b9f0ce261fb1a194f75b15be4679c90a487d888
Results\Presentation_Evidence\Figures\34_20_reduced_A_pca_variance.png,94875,345d8f8eb621224ab264bcac767eea31ab83f52aa698b577a050f450a6dc3096
Results\Presentation_Evidence\Figures\34_21_G_pca_variance.png,91102,6e2e13f22221d86e5357e5d9594bd9a354d0f70b9602ebfb0556b22c4cce3e89
Results\Presentation_Evidence\Figures\34_22_temporal_transfer_frozen_X3.png,104345,9add4dc7d1d9f35076c6485a2dcd7f7a1fbea23435f6386082f2582559618ecc
Results\Presentation_Evidence\Figures\34_23_2123_A_xladder.png,117576,055d863ac3a224bf644d63f36720c745894d735e71a579a2655f36a7142f308c
Results\Presentation_Evidence\Figures\34_24_2123_G_xladder.png,122165,2e49303840fc22003a6563b943314d322e5ab159f2a1ecadf73fbc83a52efb0a
Results\Presentation_Evidence\Figures\34_25_2123_residual_design_df.png,69724,0a2c6cfa7cf7515784862017c9085739e5f5327fd85b42e04e71f1445c53a688
Results\Presentation_Evidence\Figures\34_26_temporal_A_distribution_mean.png,69850,e69af0b730e9241901a433ac14807488c39193ff1f0acdcd211a6dacb491dc40
Results\Presentation_Evidence\Figures\34_27_temporal_G_distribution_mean.png,75136,efbdd2e23b8016c01011fad41b8a529d6a6abca8baf62e116484801d0103e3e0
Results\Presentation_Evidence\Figures\34_28_temporal_somatic_mean.png,88058,fcf71ed042ddcaf89652695628b0abc2587f873e91ba97e44d89978db630e29d
Results\Presentation_Evidence\Figures\34_29_temporal_phq9_mean.png,79511,01f0df20b5b93a87e3624679abe7291ca699ceca1f8a9584dfd7dab874938f2f
Results\Presentation_Evidence\Figures\34_30_reference_preserving_branch_architecture.png,297381,cc48c151b9e2f1a936b05c92f42b2a3c42f7b4681694e625f30f0f3feb8de207
Results\Presentation_Evidence\Tables\34_2123_design_degrees_of_freedom.csv,189,6ebb97af61a410c82168d95b7fccf4dfa0ce462622d30ebcfa8fce3c42208298
Results\Presentation_Evidence\Tables\34_clinical_group_descriptives.csv,371,06590a0ac05bc87636308598c46b4d3d4fff209f0fc5b9f0994991fedd5a627b
Results\Presentation_Evidence\Tables\34_core_distribution_summary.csv,732,7d6cae861c4669f1db8e4ff316807b93c16fe99d1dfe1d1daadd1074509a3ab6
Results\Presentation_Evidence\Tables\34_existing_transformation_ledger.csv,1315,89487152036f4edea7d09afc7e5c29a39bdc3c473b12fc20c86a50e79219d198
Results\Presentation_Evidence\Tables\34_incremental_information_tests.csv,441,9f4e49f75618706cec5555618bda5ba99f57d21510fcecd76f2c2a862efc165a
Results\Presentation_Evidence\Tables\34_key_results.csv,1661,70fe4f93971db6ac4a0c703b6f6b8f99b7601341f88192dcdd269f4d266929d0
Results\Presentation_Evidence\Tables\34_mimic_fit_indices.csv,94,ee83c025bffe560020e6a21880913291df4aa2d02c228f4109f6b57e87fba7fc
Results\Presentation_Evidence\Tables\34_operational_y_correlations.csv,513,f5d4d038253db5596a45c41c34eabf7e9074a4c8f2b556d5d0e1ed92614f361b
Results\Presentation_Evidence\Tables\34_operational_y_summary.csv,639,e482ebf9e0c1db7dd893414ec62c6bf45ffecb17ffe6c3186d0c0e720f4d75f0
Results\Presentation_Evidence\Tables\34_reduced_A_pca.csv,302,dca38c956613cd85f0335bed63e4a2b71a2882fcbea0188623006d26e9a1ee73
Results\Presentation_Evidence\Tables\34_reference_preservation_source_audit.csv,2840,2c4e48865638022b7def323ee2d2b96ae80052c866bc7cc4b5c82c53dafb05d9
Results\Presentation_Evidence\Tables\34_reference_preservation_summary.csv,533,ac51b40a8f51aad7cdf6a53187ad7f72425dcdc723575bbc3a56c59b7b336b13
Results\Presentation_Evidence\Tables\34_sample_flow.csv,427,395cca24254beeee805df4b185fe108fb641c9fad9645e0aafd9fefcebd1df8d
Results\Presentation_Evidence\Tables\34_statistical_glossary.csv,3164,36f244f38bd54e74c4c4aba6eaeb2bebafc17f54366dfd9711d209bf124de71e
Results\Presentation_Evidence\Tables\34_survey_cohort_weighted_descriptives.csv,569,e4b11c21a82d7f24c77ae5df0fafe222d8261529c9e0dc1e6668c337d958ea5c
Results\Presentation_Evidence\Tables\34_temporal_distribution_comparison.csv,1134,9496a92c8ca20535552f2ba6f0ac36fb564cc519cf438c8c31ddd8231fd36903
Results\Presentation_Evidence\Tables\34_transfer_cohort_counts.csv,351,ee34afbcfe4523e0b141a7925ef646de1a547dcf13081a4a1dbc923895e2d068
Results\Presentation_Evidence\Tables\34_why_each_method.csv,1795,5070baaaaf711deffa320aef59740a175e80df5c0868c2d1cb593bd5d41d0c25
