scenario,sim_year,n,A_corr_truth,A_mean_error,G_corr_truth,G_mean_error,true_hba1c_assay_shift
mapping_drift,5,10000,0.9312517551144038,-0.04494669497333043,0.9572773094343988,-0.09522642611161675,0.0
mapping_drift,6,10000,0.916256759533899,-0.06510367136165884,0.9494955179417284,-0.1313909496120854,0.0
mapping_drift,7,10000,0.8984946827892638,-0.08243580870619932,0.9408552773804356,-0.16466577948482744,0.0
mapping_drift,8,10000,0.882570879086582,-0.09707347882185192,0.9323067802222075,-0.19791008501333157,0.0
mapping_drift,9,10000,0.86483308160091,-0.11442567270936593,0.9258853306433914,-0.2337531096158115,0.0
mapping_drift,10,10000,0.8474672287368006,-0.13263308590488201,0.9192507999871329,-0.26643956596562074,0.0
mapping_drift,11,10000,0.8282986431135343,-0.1519121565028295,0.9123133971043117,-0.30253425275165235,0.0
mapping_drift,12,10000,0.8097500674347664,-0.16818769407412054,0.9069763781334744,-0.3381082820041741,0.0
mapping_drift,13,10000,0.7918764509830016,-0.18741364328163,0.9017273787528189,-0.37487573409573366,0.0
mapping_drift,14,10000,0.7703075304471484,-0.2038547305831501,0.8973270338153838,-0.4117003272774387,0.0
mapping_drift,15,10000,0.7547708415193956,-0.22357089194468358,0.8932925487644814,-0.44744891714064294,0.0
measurement_shift,0,10000,0.9921831954383094,0.02651371463433568,0.99620422261481,0.06084170246048775,0.0
measurement_shift,1,10000,0.9835383298624852,0.012574922124552702,0.9904767764621938,0.030716878050810373,0.0
measurement_shift,2,10000,0.9719946827456089,0.002275020262608658,0.9830146876315623,-0.0002872296949359813,0.0
measurement_shift,3,10000,0.9600129660646569,-0.012599337285047203,0.9745167114203459,-0.03039155099871259,0.0
measurement_shift,4,10000,0.9475638057824468,-0.028764319736449686,0.9650636756216434,-0.06087979981764948,0.0
measurement_shift,5,10000,0.9317126755498332,-0.044442186491791255,0.9555118136359543,-0.09423329341578182,0.0
measurement_shift,6,10000,0.9169174654307505,-0.06266895361835412,0.9466237971947407,-0.12772539663748617,0.0
measurement_shift,7,10000,0.9008178343578114,-0.07701569030278138,0.9382113347536294,-0.1624423280217448,0.0
measurement_shift,8,10000,0.8829194630110744,-0.09772867094114651,0.9307875241781338,-0.06932275111795826,0.19999999999999998
measurement_shift,9,10000,0.8662901315886703,-0.11230388540531076,0.9240164693273589,-0.09407572138132195,0.21500000000000005
measurement_shift,10,10000,0.8484125744825857,-0.13176819243360763,0.9168033462714488,-0.11760094729954874,0.23000000000000004
measurement_shift,11,10000,0.8317916925785597,-0.15120186903548516,0.911353992406009,-0.14571703726347096,0.24500000000000008
measurement_shift,12,10000,0.8131825925494965,-0.1674014991113976,0.9054044265597174,-0.17310315389666772,0.26
measurement_shift,13,10000,0.7980757493482827,-0.1881932771973912,0.9011504578711839,-0.19965039646698135,0.27499999999999997
measurement_shift,14,10000,0.7794323138568381,-0.20524745811962047,0.8978571316210371,-0.23069373352903594,0.29000000000000004
measurement_shift,15,10000,0.7624764249239931,-0.22522286038486,0.8940360948337093,-0.25630684988526536,0.305
stable_additive,0,10000,0.9924055373418892,0.026193096062188472,0.9963077343583477,0.05979003447755326,0.0
stable_additive,1,10000,0.9830504905240652,0.013394944637109236,0.9902818815603119,0.03157946093098537,0.0
stable_additive,2,10000,0.9724630350990241,-0.000612480025391795,0.9833858089982072,0.001864461510150798,0.0
stable_additive,3,10000,0.959872550645796,-0.01348565504968075,0.9747253970766724,-0.029894245267959554,0.0
stable_additive,4,10000,0.9465580740368007,-0.025489905624225054,0.9658906862740175,-0.06333971165072988,0.0
stable_additive,5,10000,0.9317078946691245,-0.041231647365527,0.9571354862265802,-0.09324109013674868,0.0
stable_additive,6,10000,0.9163035007534701,-0.059215027005762366,0.9482456169762008,-0.12918442120051996,0.0
stable_additive,7,10000,0.9008425289942041,-0.07612915949867584,0.9401888687051373,-0.16338204300058792,0.0
stable_additive,8,10000,0.8846028618561892,-0.09015944545222337,0.9329450815391621,-0.1976621797996578,0.0
stable_additive,9,10000,0.8667497470623361,-0.10811119698494728,0.9263728360396063,-0.23423308991147623,0.0
stable_additive,10,10000,0.8498498941893077,-0.12447041952680747,0.9200981628810992,-0.26914547547570383,0.0
stable_additive,11,10000,0.8328178874559312,-0.14393890902031686,0.9150274431014703,-0.3059028691364534,0.0
stable_additive,12,10000,0.8174950138375708,-0.16957243604821473,0.9100754982638848,-0.3438564324451144,0.0
stable_additive,13,10000,0.8015218479155554,-0.18423342206464405,0.9053546932322204,-0.37826416010145714,0.0
stable_additive,14,10000,0.785467661968203,-0.20157970079098955,0.9001468958505607,-0.41559186787118596,0.0
stable_additive,15,10000,0.768927378050252,-0.2212582324011485,0.8966470073142077,-0.45189267535356376,0.0
