scenario,sim_year,n,mean_age,mean_bmi,mean_egfr,mean_true_A,mean_true_G,mean_somatic,mean_somatic_setpoint,beta_A,beta_G,beta_AG,hba1c_assay_shift
ag_interaction,2,10000,48.6623,28.874283693594258,91.59049867430237,0.03848410055738741,0.10736286296095622,1.63,1.473870797444478,0.22,0.18,0.0,0.0
ag_interaction,3,10000,49.6623,28.92128012719593,90.87075232548654,0.06097590339675029,0.16040546736456893,1.6225,1.4890815369987573,0.22,0.18,0.0,0.0
ag_interaction,4,10000,50.6623,28.96920080764685,90.10966033618156,0.082080355133136,0.2150547237760861,1.6329,1.5043546204696678,0.22,0.18,0.0,0.0
ag_interaction,5,10000,51.6623,29.01736371995064,89.38213568056675,0.10202973792494754,0.27071649347375626,1.6695,1.5705669319628437,0.22,0.18,0.16,0.0
ag_interaction,6,10000,52.6623,29.05934936791174,88.63458915771771,0.12310200586081478,0.3298479332052025,1.7126,1.5945040057044155,0.22,0.18,0.16,0.0
ag_interaction,7,10000,53.6623,29.10922120216922,87.90121430971261,0.14781214459533462,0.38540793819134533,1.7379,1.6205467997993734,0.22,0.18,0.16,0.0
ag_interaction,8,10000,54.6623,29.160434383482613,87.13851060224502,0.17424593374428837,0.4422701187233308,1.752,1.6466814774448022,0.22,0.18,0.16,0.0
ag_interaction,9,10000,55.6623,29.20443148293962,86.39102899809001,0.1991244793988287,0.5004744333034938,1.7682,1.6734707790431913,0.22,0.18,0.16,0.0
ag_interaction,10,10000,56.6623,29.254769960004964,85.62612524328914,0.22058629816796146,0.5607814995348179,1.7976,1.6994150701030237,0.22,0.18,0.16,0.0
ag_interaction,11,10000,57.6623,29.3106479178719,84.86154648757528,0.2464230316428333,0.6230367448784913,1.8234,1.7290503651636489,0.22,0.18,0.16,0.0
ag_interaction,12,10000,58.6623,29.36713511255649,84.0559568116029,0.2718271171845431,0.6859492934936983,1.8526,1.758652927473637,0.22,0.18,0.16,0.0
ag_interaction,13,10000,59.6623,29.422139447686956,83.27092965382174,0.29817084980779734,0.7490559169043101,1.8776,1.7893021960817055,0.22,0.18,0.16,0.0
ag_interaction,14,10000,60.6623,29.476394618950852,82.46928611901339,0.32193250716124,0.8153420441468292,1.8911,1.820359732385644,0.22,0.18,0.16,0.0
ag_interaction,15,10000,61.6623,29.53462781678068,81.65081598593285,0.3476274093092652,0.8781116007190843,1.9257,1.8521501354826404,0.22,0.18,0.16,0.0
measurement_shift,0,10000,46.6623,28.812065000000004,93.04718920416066,2.842170943040401e-18,7.105427357601002e-18,1.5815,1.4452,0.22,0.18,0.0,0.0
measurement_shift,1,10000,47.6623,28.832771140120986,92.3069262123013,0.020104359365336014,0.04607872517204901,1.5887,1.4582668717609881,0.22,0.18,0.0,0.0
measurement_shift,2,10000,48.6623,28.871019276495797,91.57065514942661,0.03558912143045179,0.0931586597628595,1.6182,1.4705329331730355,0.22,0.18,0.0,0.0
measurement_shift,3,10000,49.6623,28.911740450274763,90.84477073988845,0.05721688928109379,0.13849206609902612,1.6326,1.4842306238103469,0.22,0.18,0.0,0.0
measurement_shift,4,10000,50.6623,28.95399036862235,90.1182931206075,0.07798453676231495,0.1878494585610293,1.6346,1.4985096597004826,0.22,0.18,0.0,0.0
measurement_shift,5,10000,51.6623,28.999903599541273,89.38884073219295,0.09842104262908422,0.2374490966173599,1.6474,1.5129496352646696,0.22,0.18,0.0,0.0
measurement_shift,6,10000,52.6623,29.045493048859544,88.62551121376687,0.12344970258538783,0.28934874549369877,1.6577,1.5291814240049013,0.22,0.18,0.0,0.0
measurement_shift,7,10000,53.6623,29.093964333429163,87.87512607944474,0.1477187898038738,0.344854411384139,1.6939,1.545894378559917,0.22,0.18,0.0,0.0
measurement_shift,8,10000,54.6623,29.14237374470825,87.1110038211101,0.17202984783789665,0.3969907941253443,1.6881,1.5621054620289947,0.22,0.18,0.0,0.2
measurement_shift,9,10000,55.6623,29.193194941344164,86.34977878640585,0.19585609700579457,0.4512913974174582,1.6984,1.578743924258029,0.22,0.18,0.0,0.21500000000000002
measurement_shift,10,10000,56.6623,29.24616797390521,85.59600186089301,0.2231009832635159,0.5037188415588094,1.7183,1.5961589328993848,0.22,0.18,0.0,0.23
measurement_shift,11,10000,57.6623,29.299302051879565,84.81946148243006,0.2478132646243971,0.5610289774538518,1.7398,1.613935249331483,0.22,0.18,0.0,0.245
measurement_shift,12,10000,58.6623,29.352174690415797,84.04678666188636,0.27430702354859204,0.6168521178156786,1.7373,1.6319089425641342,0.22,0.18,0.0,0.26
measurement_shift,13,10000,59.6623,29.409537121176353,83.26229581126579,0.2997262164106398,0.674994030683189,1.7463,1.6500193106842558,0.22,0.18,0.0,0.275
measurement_shift,14,10000,60.6623,29.460434574023534,82.45074619757362,0.3242841313508255,0.7350142375374276,1.7635,1.6682599536109148,0.22,0.18,0.0,0.29000000000000004
measurement_shift,15,10000,61.6623,29.51467034115774,81.6821528298738,0.3511939808729142,0.7916525268323423,1.7861,1.686633457547633,0.22,0.18,0.0,0.305
