SYNTH_ID,PERSON_SET
SYN_000073,DEVELOPMENT
SYN_000074,DEVELOPMENT
SYN_000075,DEVELOPMENT
SYN_000076,DEVELOPMENT
SYN_000077,HOLDOUT
SYN_000078,DEVELOPMENT
SYN_000079,DEVELOPMENT
SYN_000080,DEVELOPMENT
SYN_000081,DEVELOPMENT
SYN_000082,DEVELOPMENT
SYN_000083,DEVELOPMENT
SYN_000084,DEVELOPMENT
SYN_000085,HOLDOUT
SYN_000086,DEVELOPMENT
SYN_000087,DEVELOPMENT
SYN_000088,DEVELOPMENT
SYN_000089,DEVELOPMENT
SYN_000090,DEVELOPMENT
SYN_000091,DEVELOPMENT
SYN_000092,DEVELOPMENT
SYN_000093,DEVELOPMENT
SYN_000094,DEVELOPMENT
SYN_000095,HOLDOUT
SYN_000096,DEVELOPMENT
SYN_000097,DEVELOPMENT
SYN_000098,DEVELOPMENT
SYN_000099,DEVELOPMENT
SYN_000100,DEVELOPMENT
SYN_000101,DEVELOPMENT
SYN_000102,DEVELOPMENT
SYN_000103,DEVELOPMENT
SYN_000104,DEVELOPMENT
SYN_000105,HOLDOUT
SYN_000106,DEVELOPMENT
SYN_000107,DEVELOPMENT
SYN_000108,DEVELOPMENT
SYN_000109,DEVELOPMENT
SYN_000110,DEVELOPMENT
SYN_000111,HOLDOUT
SYN_000112,DEVELOPMENT
SYN_000113,DEVELOPMENT
SYN_000114,DEVELOPMENT
SYN_000115,DEVELOPMENT
SYN_000116,HOLDOUT
SYN_000117,DEVELOPMENT
SYN_000118,DEVELOPMENT
SYN_000119,DEVELOPMENT
SYN_000120,DEVELOPMENT
SYN_000121,DEVELOPMENT
SYN_000122,HOLDOUT
SYN_000123,DEVELOPMENT
SYN_000124,DEVELOPMENT
SYN_000125,DEVELOPMENT
SYN_000126,DEVELOPMENT
SYN_000127,DEVELOPMENT
SYN_000128,DEVELOPMENT
SYN_000129,DEVELOPMENT
SYN_000130,DEVELOPMENT
SYN_000131,DEVELOPMENT
SYN_000132,DEVELOPMENT
SYN_000133,DEVELOPMENT
SYN_000134,HOLDOUT
SYN_000135,HOLDOUT
SYN_000136,HOLDOUT
SYN_000137,DEVELOPMENT
SYN_000138,DEVELOPMENT
SYN_000139,DEVELOPMENT
SYN_000140,HOLDOUT
SYN_000141,HOLDOUT
SYN_000142,DEVELOPMENT
SYN_000143,DEVELOPMENT
SYN_000144,DEVELOPMENT
SYN_000145,HOLDOUT
SYN_000146,DEVELOPMENT
SYN_000147,DEVELOPMENT
SYN_000148,HOLDOUT
SYN_000149,DEVELOPMENT
SYN_000150,DEVELOPMENT
SYN_000151,DEVELOPMENT
SYN_000152,DEVELOPMENT
SYN_000153,DEVELOPMENT
SYN_000154,DEVELOPMENT
SYN_000155,DEVELOPMENT
SYN_000156,DEVELOPMENT
SYN_000157,HOLDOUT
SYN_000158,DEVELOPMENT
SYN_000159,DEVELOPMENT
SYN_000160,DEVELOPMENT
SYN_000161,HOLDOUT
SYN_000162,HOLDOUT
SYN_000163,HOLDOUT
SYN_000164,HOLDOUT
SYN_000165,DEVELOPMENT
SYN_000166,HOLDOUT
SYN_000167,DEVELOPMENT
SYN_000168,HOLDOUT
SYN_000169,HOLDOUT
SYN_000170,DEVELOPMENT
SYN_000171,HOLDOUT
SYN_000172,DEVELOPMENT
SYN_000173,DEVELOPMENT
SYN_000174,DEVELOPMENT
SYN_000175,DEVELOPMENT
SYN_000176,HOLDOUT
SYN_000177,DEVELOPMENT
SYN_000178,DEVELOPMENT
SYN_000179,HOLDOUT
SYN_000180,DEVELOPMENT
SYN_000181,DEVELOPMENT
SYN_000182,DEVELOPMENT
SYN_000183,DEVELOPMENT
SYN_000184,DEVELOPMENT
SYN_000185,DEVELOPMENT
SYN_000186,DEVELOPMENT
SYN_000187,DEVELOPMENT
SYN_000188,HOLDOUT
SYN_000189,DEVELOPMENT
SYN_000190,DEVELOPMENT
SYN_000191,DEVELOPMENT
SYN_000192,HOLDOUT
SYN_000193,DEVELOPMENT
SYN_000194,HOLDOUT
SYN_000195,DEVELOPMENT
SYN_000196,DEVELOPMENT
SYN_000197,DEVELOPMENT
SYN_000198,DEVELOPMENT
SYN_000199,DEVELOPMENT
SYN_000200,HOLDOUT
SYN_000201,DEVELOPMENT
SYN_000202,DEVELOPMENT
SYN_000203,DEVELOPMENT
SYN_000204,DEVELOPMENT
SYN_000205,HOLDOUT
SYN_000206,DEVELOPMENT
SYN_000207,HOLDOUT
SYN_000208,DEVELOPMENT
SYN_000209,DEVELOPMENT
SYN_000210,DEVELOPMENT
SYN_000211,DEVELOPMENT
SYN_000212,DEVELOPMENT
SYN_000213,DEVELOPMENT
SYN_000214,HOLDOUT
SYN_000215,DEVELOPMENT
SYN_000216,DEVELOPMENT
SYN_000217,DEVELOPMENT
SYN_000218,DEVELOPMENT
SYN_000219,DEVELOPMENT
SYN_000220,DEVELOPMENT
SYN_000221,DEVELOPMENT
SYN_000222,DEVELOPMENT
SYN_000223,HOLDOUT
SYN_000224,DEVELOPMENT
SYN_000225,DEVELOPMENT
SYN_000226,DEVELOPMENT
SYN_000227,DEVELOPMENT
SYN_000228,DEVELOPMENT
SYN_000229,HOLDOUT
SYN_000230,DEVELOPMENT
SYN_000231,DEVELOPMENT
SYN_000232,HOLDOUT
SYN_000233,DEVELOPMENT
SYN_000234,DEVELOPMENT
SYN_000235,DEVELOPMENT
SYN_000236,DEVELOPMENT
SYN_000237,HOLDOUT
SYN_000238,DEVELOPMENT
SYN_000239,HOLDOUT
SYN_000240,DEVELOPMENT
SYN_000241,HOLDOUT
SYN_000242,HOLDOUT
SYN_000243,DEVELOPMENT
SYN_000244,DEVELOPMENT
SYN_000245,DEVELOPMENT
SYN_000246,HOLDOUT
SYN_000247,DEVELOPMENT
SYN_000248,DEVELOPMENT
SYN_000249,HOLDOUT
SYN_000250,DEVELOPMENT
SYN_000251,DEVELOPMENT
SYN_000252,DEVELOPMENT
SYN_000253,HOLDOUT
SYN_000254,DEVELOPMENT
SYN_000255,DEVELOPMENT
SYN_000256,DEVELOPMENT
SYN_000257,DEVELOPMENT
SYN_000258,DEVELOPMENT
SYN_000259,DEVELOPMENT
SYN_000260,DEVELOPMENT
SYN_000261,DEVELOPMENT
SYN_000262,DEVELOPMENT
SYN_000263,DEVELOPMENT
SYN_000264,DEVELOPMENT
SYN_000265,DEVELOPMENT
SYN_000266,DEVELOPMENT
SYN_000267,DEVELOPMENT
SYN_000268,HOLDOUT
SYN_000269,DEVELOPMENT
SYN_000270,DEVELOPMENT
SYN_000271,HOLDOUT
SYN_000272,DEVELOPMENT
SYN_000273,DEVELOPMENT
SYN_000274,DEVELOPMENT
SYN_000275,DEVELOPMENT
SYN_000276,HOLDOUT
SYN_000277,HOLDOUT
SYN_000278,DEVELOPMENT
SYN_000279,DEVELOPMENT
SYN_000280,HOLDOUT
SYN_000281,HOLDOUT
SYN_000282,DEVELOPMENT
SYN_000283,HOLDOUT
SYN_000284,DEVELOPMENT
SYN_000285,DEVELOPMENT
SYN_000286,HOLDOUT
SYN_000287,HOLDOUT
SYN_000288,HOLDOUT
SYN_000289,DEVELOPMENT
SYN_000290,DEVELOPMENT
SYN_000291,DEVELOPMENT
SYN_000292,HOLDOUT
SYN_000293,DEVELOPMENT
SYN_000294,DEVELOPMENT
SYN_000295,DEVELOPMENT
SYN_000296,DEVELOPMENT
SYN_000297,DEVELOPMENT
SYN_000298,DEVELOPMENT
SYN_000299,DEVELOPMENT
SYN_000300,DEVELOPMENT
SYN_000301,DEVELOPMENT
SYN_000302,DEVELOPMENT
SYN_000303,DEVELOPMENT
SYN_000304,HOLDOUT
SYN_000305,HOLDOUT
SYN_000306,DEVELOPMENT
SYN_000307,DEVELOPMENT
SYN_000308,DEVELOPMENT
SYN_000309,DEVELOPMENT
SYN_000310,DEVELOPMENT
SYN_000311,DEVELOPMENT
SYN_000312,DEVELOPMENT
SYN_000313,DEVELOPMENT
SYN_000314,DEVELOPMENT
SYN_000315,DEVELOPMENT
SYN_000316,DEVELOPMENT
SYN_000317,DEVELOPMENT
SYN_000318,DEVELOPMENT
SYN_000319,DEVELOPMENT
SYN_000320,DEVELOPMENT
SYN_000321,DEVELOPMENT
SYN_000322,DEVELOPMENT
SYN_000323,DEVELOPMENT
SYN_000324,DEVELOPMENT
SYN_000325,HOLDOUT
SYN_000326,DEVELOPMENT
SYN_000327,DEVELOPMENT
SYN_000328,DEVELOPMENT
SYN_000329,DEVELOPMENT
SYN_000330,DEVELOPMENT
SYN_000331,DEVELOPMENT
SYN_000332,DEVELOPMENT
SYN_000333,DEVELOPMENT
SYN_000334,HOLDOUT
SYN_000335,DEVELOPMENT
SYN_000336,DEVELOPMENT
SYN_000337,DEVELOPMENT
SYN_000338,DEVELOPMENT
SYN_000339,DEVELOPMENT
SYN_000340,DEVELOPMENT
SYN_000341,DEVELOPMENT
SYN_000342,HOLDOUT
SYN_000343,DEVELOPMENT
SYN_000344,DEVELOPMENT
SYN_000345,HOLDOUT
SYN_000346,DEVELOPMENT
SYN_000347,DEVELOPMENT
SYN_000348,HOLDOUT
SYN_000349,DEVELOPMENT
SYN_000350,DEVELOPMENT
SYN_000351,DEVELOPMENT
SYN_000352,DEVELOPMENT
SYN_000353,DEVELOPMENT
SYN_000354,DEVELOPMENT
SYN_000355,DEVELOPMENT
SYN_000356,DEVELOPMENT
SYN_000357,DEVELOPMENT
SYN_000358,DEVELOPMENT
SYN_000359,DEVELOPMENT
SYN_000360,DEVELOPMENT
SYN_000361,DEVELOPMENT
SYN_000362,DEVELOPMENT
SYN_000363,DEVELOPMENT
SYN_000364,DEVELOPMENT
SYN_000365,DEVELOPMENT
SYN_000366,DEVELOPMENT
SYN_000367,DEVELOPMENT
SYN_000368,DEVELOPMENT
SYN_000369,DEVELOPMENT
SYN_000370,DEVELOPMENT
SYN_000371,DEVELOPMENT
SYN_000372,DEVELOPMENT
SYN_000373,HOLDOUT
SYN_000374,DEVELOPMENT
SYN_000375,DEVELOPMENT
SYN_000376,DEVELOPMENT
SYN_000377,DEVELOPMENT
SYN_000378,DEVELOPMENT
SYN_000379,HOLDOUT
SYN_000380,DEVELOPMENT
SYN_000381,HOLDOUT
SYN_000382,DEVELOPMENT
SYN_000383,DEVELOPMENT
SYN_000384,DEVELOPMENT
SYN_000385,HOLDOUT
SYN_000386,HOLDOUT
SYN_000387,DEVELOPMENT
SYN_000388,DEVELOPMENT
SYN_000389,DEVELOPMENT
SYN_000390,HOLDOUT
SYN_000391,DEVELOPMENT
SYN_000392,DEVELOPMENT
SYN_000393,DEVELOPMENT
SYN_000394,DEVELOPMENT
SYN_000395,DEVELOPMENT
SYN_000396,HOLDOUT
SYN_000397,DEVELOPMENT
SYN_000398,DEVELOPMENT
SYN_000399,DEVELOPMENT
SYN_000400,DEVELOPMENT
SYN_000401,DEVELOPMENT
SYN_000402,HOLDOUT
SYN_000403,DEVELOPMENT
SYN_000404,DEVELOPMENT
SYN_000405,HOLDOUT
SYN_000406,DEVELOPMENT
SYN_000407,DEVELOPMENT
SYN_000408,DEVELOPMENT
SYN_000409,DEVELOPMENT
SYN_000410,DEVELOPMENT
SYN_000411,HOLDOUT
SYN_000412,HOLDOUT
SYN_000413,DEVELOPMENT
SYN_000414,DEVELOPMENT
SYN_000415,DEVELOPMENT
SYN_000416,DEVELOPMENT
SYN_000417,HOLDOUT
SYN_000418,DEVELOPMENT
SYN_000419,HOLDOUT
SYN_000420,DEVELOPMENT
SYN_000421,DEVELOPMENT
SYN_000422,HOLDOUT
SYN_000423,DEVELOPMENT
SYN_000424,DEVELOPMENT
SYN_000425,DEVELOPMENT
SYN_000426,HOLDOUT
SYN_000427,DEVELOPMENT
SYN_000428,DEVELOPMENT
SYN_000429,DEVELOPMENT
SYN_000430,DEVELOPMENT
SYN_000431,HOLDOUT
SYN_000432,DEVELOPMENT
SYN_000433,HOLDOUT
SYN_000434,HOLDOUT
SYN_000435,DEVELOPMENT
SYN_000436,DEVELOPMENT
SYN_000437,DEVELOPMENT
SYN_000438,DEVELOPMENT
SYN_000439,DEVELOPMENT
SYN_000440,HOLDOUT
SYN_000441,DEVELOPMENT
SYN_000442,DEVELOPMENT
SYN_000443,DEVELOPMENT
SYN_000444,DEVELOPMENT
SYN_000445,DEVELOPMENT
SYN_000446,DEVELOPMENT
SYN_000447,HOLDOUT
SYN_000448,DEVELOPMENT
SYN_000449,DEVELOPMENT
SYN_000450,HOLDOUT
SYN_000451,DEVELOPMENT
SYN_000452,HOLDOUT
SYN_000453,HOLDOUT
SYN_000454,DEVELOPMENT
SYN_000455,HOLDOUT
SYN_000456,DEVELOPMENT
SYN_000457,HOLDOUT
SYN_000458,DEVELOPMENT
SYN_000459,DEVELOPMENT
SYN_000460,DEVELOPMENT
SYN_000461,DEVELOPMENT
SYN_000462,DEVELOPMENT
SYN_000463,HOLDOUT
SYN_000464,HOLDOUT
SYN_000465,DEVELOPMENT
SYN_000466,DEVELOPMENT
SYN_000467,DEVELOPMENT
SYN_000468,DEVELOPMENT
SYN_000469,DEVELOPMENT
SYN_000470,DEVELOPMENT
SYN_000471,DEVELOPMENT
SYN_000472,DEVELOPMENT
SYN_000473,HOLDOUT
SYN_000474,DEVELOPMENT
SYN_000475,HOLDOUT
SYN_000476,HOLDOUT
SYN_000477,HOLDOUT
SYN_000478,HOLDOUT
SYN_000479,DEVELOPMENT
SYN_000480,DEVELOPMENT
SYN_000481,DEVELOPMENT
SYN_000482,HOLDOUT
SYN_000483,DEVELOPMENT
SYN_000484,HOLDOUT
SYN_000485,DEVELOPMENT
SYN_000486,DEVELOPMENT
SYN_000487,DEVELOPMENT
SYN_000488,DEVELOPMENT
SYN_000489,HOLDOUT
SYN_000490,DEVELOPMENT
SYN_000491,DEVELOPMENT
SYN_000492,DEVELOPMENT
SYN_000493,DEVELOPMENT
SYN_000494,DEVELOPMENT
SYN_000495,DEVELOPMENT
SYN_000496,DEVELOPMENT
SYN_000497,DEVELOPMENT
SYN_000498,HOLDOUT
SYN_000499,DEVELOPMENT
SYN_000500,DEVELOPMENT
SYN_000501,DEVELOPMENT
SYN_000502,DEVELOPMENT
SYN_000503,DEVELOPMENT
SYN_000504,DEVELOPMENT
SYN_000505,DEVELOPMENT
SYN_000506,DEVELOPMENT
SYN_000507,DEVELOPMENT
SYN_000508,DEVELOPMENT
SYN_000509,HOLDOUT
SYN_000510,DEVELOPMENT
SYN_000511,DEVELOPMENT
SYN_000512,DEVELOPMENT
SYN_000513,HOLDOUT
SYN_000514,DEVELOPMENT
SYN_000515,DEVELOPMENT
SYN_000516,DEVELOPMENT
SYN_000517,DEVELOPMENT
SYN_000518,DEVELOPMENT
SYN_000519,HOLDOUT
SYN_000520,DEVELOPMENT
SYN_000521,DEVELOPMENT
SYN_000522,DEVELOPMENT
SYN_000523,HOLDOUT
SYN_000524,DEVELOPMENT
SYN_000525,HOLDOUT
SYN_000526,DEVELOPMENT
SYN_000527,DEVELOPMENT
SYN_000528,DEVELOPMENT
SYN_000529,DEVELOPMENT
SYN_000530,DEVELOPMENT
SYN_000531,DEVELOPMENT
SYN_000532,DEVELOPMENT
SYN_000533,HOLDOUT
SYN_000534,HOLDOUT
SYN_000535,HOLDOUT
SYN_000536,DEVELOPMENT
SYN_000537,DEVELOPMENT
SYN_000538,DEVELOPMENT
SYN_000539,DEVELOPMENT
SYN_000540,DEVELOPMENT
SYN_000541,DEVELOPMENT
SYN_000542,DEVELOPMENT
SYN_000543,DEVELOPMENT
SYN_000544,DEVELOPMENT
SYN_000545,DEVELOPMENT
SYN_000546,DEVELOPMENT
SYN_000547,DEVELOPMENT
SYN_000548,DEVELOPMENT
SYN_000549,DEVELOPMENT
SYN_000550,DEVELOPMENT
SYN_000551,DEVELOPMENT
SYN_000552,DEVELOPMENT
SYN_000553,DEVELOPMENT
SYN_000554,DEVELOPMENT
SYN_000555,DEVELOPMENT
SYN_000556,DEVELOPMENT
SYN_000557,DEVELOPMENT
SYN_000558,DEVELOPMENT
SYN_000559,DEVELOPMENT
SYN_000560,DEVELOPMENT
SYN_000561,DEVELOPMENT
SYN_000562,HOLDOUT
SYN_000563,DEVELOPMENT
SYN_000564,DEVELOPMENT
SYN_000565,DEVELOPMENT
SYN_000566,DEVELOPMENT
SYN_000567,DEVELOPMENT
SYN_000568,DEVELOPMENT
SYN_000569,DEVELOPMENT
SYN_000570,HOLDOUT
SYN_000571,DEVELOPMENT
SYN_000572,HOLDOUT
SYN_000573,DEVELOPMENT
SYN_000574,DEVELOPMENT
SYN_000575,DEVELOPMENT
SYN_000576,DEVELOPMENT
SYN_000577,DEVELOPMENT
SYN_000578,DEVELOPMENT
SYN_000579,HOLDOUT
SYN_000580,DEVELOPMENT
SYN_000581,DEVELOPMENT
SYN_000582,DEVELOPMENT
SYN_000583,DEVELOPMENT
SYN_000584,DEVELOPMENT
SYN_000585,DEVELOPMENT
SYN_000586,HOLDOUT
SYN_000587,DEVELOPMENT
SYN_000588,DEVELOPMENT
SYN_000589,HOLDOUT
SYN_000590,DEVELOPMENT
SYN_000591,DEVELOPMENT
SYN_000592,DEVELOPMENT
SYN_000593,DEVELOPMENT
SYN_000594,DEVELOPMENT
SYN_000595,DEVELOPMENT
SYN_000596,DEVELOPMENT
SYN_000597,DEVELOPMENT
SYN_000598,DEVELOPMENT
SYN_000599,DEVELOPMENT
SYN_000600,HOLDOUT
SYN_000601,DEVELOPMENT
SYN_000602,HOLDOUT
SYN_000603,DEVELOPMENT
SYN_000604,DEVELOPMENT
SYN_000605,DEVELOPMENT
SYN_000606,HOLDOUT
SYN_000607,DEVELOPMENT
SYN_000608,DEVELOPMENT
SYN_000609,DEVELOPMENT
SYN_000610,DEVELOPMENT
SYN_000611,DEVELOPMENT
SYN_000612,DEVELOPMENT
SYN_000613,DEVELOPMENT
SYN_000614,DEVELOPMENT
SYN_000615,HOLDOUT
SYN_000616,DEVELOPMENT
SYN_000617,DEVELOPMENT
SYN_000618,DEVELOPMENT
SYN_000619,DEVELOPMENT
SYN_000620,DEVELOPMENT
SYN_000621,DEVELOPMENT
SYN_000622,DEVELOPMENT
SYN_000623,HOLDOUT
SYN_000624,DEVELOPMENT
SYN_000625,DEVELOPMENT
SYN_000626,HOLDOUT
SYN_000627,HOLDOUT
SYN_000628,DEVELOPMENT
SYN_000629,HOLDOUT
SYN_000630,DEVELOPMENT
SYN_000631,DEVELOPMENT
SYN_000632,DEVELOPMENT
SYN_000633,DEVELOPMENT
SYN_000634,DEVELOPMENT
SYN_000635,HOLDOUT
SYN_000636,DEVELOPMENT
SYN_000637,DEVELOPMENT
SYN_000638,DEVELOPMENT
SYN_000639,DEVELOPMENT
SYN_000640,HOLDOUT
SYN_000641,DEVELOPMENT
SYN_000642,DEVELOPMENT
SYN_000643,DEVELOPMENT
SYN_000644,DEVELOPMENT
SYN_000645,DEVELOPMENT
SYN_000646,DEVELOPMENT
SYN_000647,DEVELOPMENT
SYN_000648,HOLDOUT
SYN_000649,HOLDOUT
SYN_000650,DEVELOPMENT
SYN_000651,DEVELOPMENT
SYN_000652,DEVELOPMENT
SYN_000653,DEVELOPMENT
SYN_000654,DEVELOPMENT
SYN_000655,DEVELOPMENT
SYN_000656,DEVELOPMENT
SYN_000657,DEVELOPMENT
SYN_000658,HOLDOUT
SYN_000659,HOLDOUT
SYN_000660,DEVELOPMENT
SYN_000661,DEVELOPMENT
SYN_000662,DEVELOPMENT
SYN_000663,DEVELOPMENT
SYN_000664,DEVELOPMENT
SYN_000665,DEVELOPMENT
SYN_000666,DEVELOPMENT
SYN_000667,DEVELOPMENT
SYN_000668,DEVELOPMENT
SYN_000669,DEVELOPMENT
SYN_000670,DEVELOPMENT
SYN_000671,DEVELOPMENT
SYN_000672,DEVELOPMENT
SYN_000673,HOLDOUT
SYN_000674,DEVELOPMENT
SYN_000675,DEVELOPMENT
SYN_000676,DEVELOPMENT
SYN_000677,DEVELOPMENT
SYN_000678,DEVELOPMENT
SYN_000679,HOLDOUT
SYN_000680,DEVELOPMENT
SYN_000681,DEVELOPMENT
SYN_000682,DEVELOPMENT
SYN_000683,DEVELOPMENT
SYN_000684,DEVELOPMENT
SYN_000685,DEVELOPMENT
SYN_000686,DEVELOPMENT
SYN_000687,HOLDOUT
SYN_000688,DEVELOPMENT
SYN_000689,DEVELOPMENT
SYN_000690,DEVELOPMENT
SYN_000691,DEVELOPMENT
SYN_000692,DEVELOPMENT
SYN_000693,DEVELOPMENT
SYN_000694,DEVELOPMENT
SYN_000695,DEVELOPMENT
SYN_000696,DEVELOPMENT
SYN_000697,HOLDOUT
SYN_000698,HOLDOUT
SYN_000699,DEVELOPMENT
SYN_000700,HOLDOUT
SYN_000701,DEVELOPMENT
SYN_000702,DEVELOPMENT
SYN_000703,DEVELOPMENT
SYN_000704,DEVELOPMENT
SYN_000705,DEVELOPMENT
SYN_000706,DEVELOPMENT
SYN_000707,DEVELOPMENT
SYN_000708,DEVELOPMENT
SYN_000709,DEVELOPMENT
SYN_000710,HOLDOUT
SYN_000711,DEVELOPMENT
SYN_000712,DEVELOPMENT
SYN_000713,DEVELOPMENT
SYN_000714,HOLDOUT
SYN_000715,DEVELOPMENT
SYN_000716,DEVELOPMENT
SYN_000717,HOLDOUT
SYN_000718,DEVELOPMENT
SYN_000719,DEVELOPMENT
SYN_000720,DEVELOPMENT
SYN_000721,DEVELOPMENT
SYN_000722,HOLDOUT
SYN_000723,DEVELOPMENT
SYN_000724,HOLDOUT
SYN_000725,HOLDOUT
SYN_000726,DEVELOPMENT
SYN_000727,DEVELOPMENT
SYN_000728,DEVELOPMENT
SYN_000729,DEVELOPMENT
SYN_000730,DEVELOPMENT
SYN_000731,DEVELOPMENT
SYN_000732,DEVELOPMENT
SYN_000733,DEVELOPMENT
SYN_000734,HOLDOUT
SYN_000735,DEVELOPMENT
SYN_000736,DEVELOPMENT
SYN_000737,DEVELOPMENT
SYN_000738,HOLDOUT
SYN_000739,DEVELOPMENT
SYN_000740,DEVELOPMENT
SYN_000741,HOLDOUT
SYN_000742,DEVELOPMENT
SYN_000743,HOLDOUT
SYN_000744,DEVELOPMENT
SYN_000745,DEVELOPMENT
SYN_000746,DEVELOPMENT
SYN_000747,DEVELOPMENT
SYN_000748,DEVELOPMENT
SYN_000749,HOLDOUT
SYN_000750,DEVELOPMENT
SYN_000751,DEVELOPMENT
SYN_000752,DEVELOPMENT
SYN_000753,DEVELOPMENT
SYN_000754,DEVELOPMENT
SYN_000755,DEVELOPMENT
SYN_000756,DEVELOPMENT
SYN_000757,DEVELOPMENT
SYN_000758,DEVELOPMENT
SYN_000759,HOLDOUT
SYN_000760,DEVELOPMENT
SYN_000761,HOLDOUT
SYN_000762,DEVELOPMENT
SYN_000763,DEVELOPMENT
SYN_000764,DEVELOPMENT
SYN_000765,DEVELOPMENT
SYN_000766,DEVELOPMENT
SYN_000767,HOLDOUT
SYN_000768,DEVELOPMENT
SYN_000769,DEVELOPMENT
SYN_000770,DEVELOPMENT
SYN_000771,DEVELOPMENT
SYN_000772,DEVELOPMENT
SYN_000773,HOLDOUT
SYN_000774,DEVELOPMENT
SYN_000775,HOLDOUT
SYN_000776,DEVELOPMENT
SYN_000777,DEVELOPMENT
SYN_000778,DEVELOPMENT
SYN_000779,DEVELOPMENT
SYN_000780,DEVELOPMENT
SYN_000781,DEVELOPMENT
SYN_000782,DEVELOPMENT
SYN_000783,HOLDOUT
SYN_000784,DEVELOPMENT
SYN_000785,HOLDOUT
SYN_000786,DEVELOPMENT
SYN_000787,HOLDOUT
SYN_000788,HOLDOUT
SYN_000789,HOLDOUT
SYN_000790,DEVELOPMENT
SYN_000791,DEVELOPMENT
SYN_000792,DEVELOPMENT
SYN_000793,DEVELOPMENT
SYN_000794,DEVELOPMENT
SYN_000795,DEVELOPMENT
SYN_000796,DEVELOPMENT
SYN_000797,DEVELOPMENT
SYN_000798,DEVELOPMENT
SYN_000799,HOLDOUT
SYN_000800,HOLDOUT
SYN_000801,DEVELOPMENT
SYN_000802,DEVELOPMENT
SYN_000803,DEVELOPMENT
SYN_000804,DEVELOPMENT
SYN_000805,DEVELOPMENT
SYN_000806,DEVELOPMENT
SYN_000807,DEVELOPMENT
SYN_000808,DEVELOPMENT
SYN_000809,DEVELOPMENT
SYN_000810,DEVELOPMENT
SYN_000811,DEVELOPMENT
SYN_000812,HOLDOUT
SYN_000813,DEVELOPMENT
SYN_000814,DEVELOPMENT
SYN_000815,HOLDOUT
SYN_000816,DEVELOPMENT
SYN_000817,DEVELOPMENT
SYN_000818,DEVELOPMENT
SYN_000819,DEVELOPMENT
SYN_000820,DEVELOPMENT
SYN_000821,DEVELOPMENT
SYN_000822,HOLDOUT
SYN_000823,HOLDOUT
SYN_000824,DEVELOPMENT
SYN_000825,DEVELOPMENT
SYN_000826,DEVELOPMENT
SYN_000827,DEVELOPMENT
SYN_000828,DEVELOPMENT
SYN_000829,DEVELOPMENT
SYN_000830,DEVELOPMENT
SYN_000831,DEVELOPMENT
SYN_000832,DEVELOPMENT
SYN_000833,DEVELOPMENT
SYN_000834,DEVELOPMENT
SYN_000835,DEVELOPMENT
SYN_000836,DEVELOPMENT
SYN_000837,DEVELOPMENT
SYN_000838,HOLDOUT
SYN_000839,DEVELOPMENT
SYN_000840,HOLDOUT
SYN_000841,HOLDOUT
