scenario,sim_year,n,mean_age,mean_bmi,mean_egfr,mean_true_A,mean_true_G,mean_somatic,beta_A,beta_G,beta_AG,hba1c_assay_shift
mapping_drift,10,10000,56.6623,29.237799569526445,85.61115220629327,0.2207721163527435,0.5076954312059984,0.7463,0.16,0.36,0.0,0.0
mapping_drift,11,10000,57.6623,29.285509816537157,84.86065558709929,0.24524939519372366,0.5621096046092126,0.8017,0.154,0.378,0.0,0.0
mapping_drift,12,10000,58.6623,29.339614525740508,84.07702823690343,0.26893514494648013,0.6168181323887375,0.8635,0.148,0.39599999999999996,0.0,0.0
mapping_drift,13,10000,59.6623,29.389503185127978,83.30665990271105,0.2931064550394105,0.6723802426919498,0.9126,0.14200000000000002,0.414,0.0,0.0
mapping_drift,14,10000,60.6623,29.443887775482644,82.53441281592697,0.3176608148382919,0.7300414227263249,0.9612,0.136,0.432,0.0,0.0
mapping_drift,15,10000,61.6623,29.50616429853714,81.76604251948731,0.3460309950553481,0.7868893571120872,1.0304,0.13,0.44999999999999996,0.0,0.0
ag_interaction,0,10000,46.6623,28.812065000000004,93.04718920416066,2.842170943040401e-18,7.105427357601002e-18,0.8475,0.22,0.18,0.0,0.0
ag_interaction,1,10000,47.6623,28.82701087043538,92.31660046916637,0.017395136469669874,0.0530445364271048,0.6124,0.22,0.18,0.0,0.0
ag_interaction,2,10000,48.6623,28.874283693594258,91.59049867430237,0.03848410055738741,0.10736286296095622,0.5549,0.22,0.18,0.0,0.0
ag_interaction,3,10000,49.6623,28.92128012719593,90.87075232548654,0.06097590339675029,0.16040546736456893,0.5183,0.22,0.18,0.0,0.0
ag_interaction,4,10000,50.6623,28.96920080764685,90.10966033618156,0.082080355133136,0.2150547237760861,0.5123,0.22,0.18,0.0,0.0
ag_interaction,5,10000,51.6623,29.01736371995064,89.38213568056675,0.10202973792494754,0.27071649347375626,0.5687,0.22,0.18,0.16,0.0
ag_interaction,6,10000,52.6623,29.05934936791174,88.63458915771771,0.12310200586081478,0.3298479332052025,0.6212,0.22,0.18,0.16,0.0
ag_interaction,7,10000,53.6623,29.10922120216922,87.90121430971261,0.14781214459533462,0.38540793819134533,0.6659,0.22,0.18,0.16,0.0
ag_interaction,8,10000,54.6623,29.160434383482613,87.13851060224502,0.17424593374428837,0.4422701187233308,0.6955,0.22,0.18,0.16,0.0
ag_interaction,9,10000,55.6623,29.20443148293962,86.39102899809001,0.1991244793988287,0.5004744333034938,0.7249,0.22,0.18,0.16,0.0
ag_interaction,10,10000,56.6623,29.254769960004964,85.62612524328914,0.22058629816796146,0.5607814995348179,0.7691,0.22,0.18,0.16,0.0
ag_interaction,11,10000,57.6623,29.3106479178719,84.86154648757528,0.2464230316428333,0.6230367448784913,0.8077,0.22,0.18,0.16,0.0
ag_interaction,12,10000,58.6623,29.36713511255649,84.0559568116029,0.2718271171845431,0.6859492934936983,0.8485,0.22,0.18,0.16,0.0
ag_interaction,13,10000,59.6623,29.422139447686956,83.27092965382174,0.29817084980779734,0.7490559169043101,0.8883,0.22,0.18,0.16,0.0
ag_interaction,14,10000,60.6623,29.476394618950852,82.46928611901339,0.32193250716124,0.8153420441468292,0.9267,0.22,0.18,0.16,0.0
ag_interaction,15,10000,61.6623,29.53462781678068,81.65081598593285,0.3476274093092652,0.8781116007190843,0.9786,0.22,0.18,0.16,0.0
measurement_shift,0,10000,46.6623,28.812065000000004,93.04718920416066,2.842170943040401e-18,7.105427357601002e-18,0.8361,0.22,0.18,0.0,0.0
measurement_shift,1,10000,47.6623,28.832771140120986,92.3069262123013,0.020104359365336014,0.04607872517204901,0.6019,0.22,0.18,0.0,0.0
measurement_shift,2,10000,48.6623,28.871019276495797,91.57065514942661,0.03558912143045179,0.0931586597628595,0.5366,0.22,0.18,0.0,0.0
measurement_shift,3,10000,49.6623,28.911740450274763,90.84477073988845,0.05721688928109379,0.13849206609902612,0.5205,0.22,0.18,0.0,0.0
measurement_shift,4,10000,50.6623,28.95399036862235,90.1182931206075,0.07798453676231495,0.1878494585610293,0.5171,0.22,0.18,0.0,0.0
measurement_shift,5,10000,51.6623,28.999903599541273,89.38884073219295,0.09842104262908422,0.2374490966173599,0.5238,0.22,0.18,0.0,0.0
measurement_shift,6,10000,52.6623,29.045493048859544,88.62551121376687,0.12344970258538783,0.28934874549369877,0.5416,0.22,0.18,0.0,0.0
measurement_shift,7,10000,53.6623,29.093964333429163,87.87512607944474,0.1477187898038738,0.344854411384139,0.5673,0.22,0.18,0.0,0.0
measurement_shift,8,10000,54.6623,29.14237374470825,87.1110038211101,0.17202984783789665,0.3969907941253443,0.5777,0.22,0.18,0.0,0.2
measurement_shift,9,10000,55.6623,29.193194941344164,86.34977878640585,0.19585609700579457,0.4512913974174582,0.5899,0.22,0.18,0.0,0.21500000000000002
measurement_shift,10,10000,56.6623,29.24616797390521,85.59600186089301,0.2231009832635159,0.5037188415588094,0.6207,0.22,0.18,0.0,0.23
measurement_shift,11,10000,57.6623,29.299302051879565,84.81946148243006,0.2478132646243971,0.5610289774538518,0.6428,0.22,0.18,0.0,0.245
measurement_shift,12,10000,58.6623,29.352174690415797,84.04678666188636,0.27430702354859204,0.6168521178156786,0.6459,0.22,0.18,0.0,0.26
measurement_shift,13,10000,59.6623,29.409537121176353,83.26229581126579,0.2997262164106398,0.674994030683189,0.678,0.22,0.18,0.0,0.275
measurement_shift,14,10000,60.6623,29.460434574023534,82.45074619757362,0.3242841313508255,0.7350142375374276,0.7031,0.22,0.18,0.0,0.29000000000000004
measurement_shift,15,10000,61.6623,29.51467034115774,81.6821528298738,0.3511939808729142,0.7916525268323423,0.7262,0.22,0.18,0.0,0.305
