period,outcome,model,term,beta,se,ci_low,ci_high,p,p_BH_within_model
2021-2023,SOMATIC_SCORE,raw_reduced_A_nonanaemic,LBXMCVSI,0.0373278657349963,0.0408987899732239,,,,
2021-2023,SOMATIC_SCORE,raw_reduced_A_nonanaemic,LBXRDW,0.164596602167431,0.0589845217925906,,,,
2021-2023,PHQ9_TOTAL,A_PCs_nonanaemic,A_OI_PC1_FZ,-0.35953288646703,0.25107332302276,,,,
2021-2023,PHQ9_TOTAL,A_PCs_nonanaemic,A_OI_PC2_FZ,0.248277531018304,0.110867639243975,,,,
2021-2023,PHQ9_TOTAL,A_PCs_nonanaemic,A_OI_PC3_FZ,0.319401248208228,0.11229290007896,,,,
2021-2023,PHQ9_TOTAL,raw_reduced_A_nonanaemic,HB_MARGIN,-0.0355428236452574,0.357687914872824,,,,
2021-2023,PHQ9_TOTAL,raw_reduced_A_nonanaemic,LBXRBCSI,-0.525026436329212,1.1063271422301,,,,
2021-2023,PHQ9_TOTAL,raw_reduced_A_nonanaemic,LBXMCVSI,0.0586144989870113,0.0645927754752681,,,,
2021-2023,PHQ9_TOTAL,raw_reduced_A_nonanaemic,LBXRDW,0.311349730213212,0.114347332707689,,,,
2021-2023,COGAFF_SUM,A_PCs_nonanaemic,A_OI_PC1_FZ,-0.146367998967598,0.132667960922986,,,,
2021-2023,COGAFF_SUM,A_PCs_nonanaemic,A_OI_PC2_FZ,0.129818732904526,0.0869747743053191,,,,
2021-2023,COGAFF_SUM,A_PCs_nonanaemic,A_OI_PC3_FZ,0.163758094725141,0.0617486400481507,,,,
2021-2023,COGAFF_SUM,raw_reduced_A_nonanaemic,HB_MARGIN,0.047590524214071,0.24127253015207,,,,
2021-2023,COGAFF_SUM,raw_reduced_A_nonanaemic,LBXRBCSI,-0.402983984575957,0.74148172772381,,,,
2021-2023,COGAFF_SUM,raw_reduced_A_nonanaemic,LBXMCVSI,0.0219487280974248,0.0443182783117003,,,,
2021-2023,COGAFF_SUM,raw_reduced_A_nonanaemic,LBXRDW,0.154616671971321,0.0718564224276745,,,,
