cycle,component,variable,present,resolved_name
1314,GHB,LBXGH,True,
1314,BMX,SEQN,True,
1314,BMX,BMXBMI,True,
1314,BIOPRO,SEQN,True,
1314,BIOPRO,LBXSCR,True,
1314,SMQ,SEQN,True,
1314,SMQ,SMQ020,True,
1314,SMQ,SMQ040,True,
1314,DEMO,RACE_VARIABLE_USED,True,RIDRETH1
1314,DEMO,PREG_VARIABLE_USED,True,RIDEXPRG
1516,DEMO,SEQN,True,
1516,DEMO,RIDAGEYR,True,
1516,DEMO,RIAGENDR,True,
1516,DEMO,INDFMPIR,True,
1516,DEMO,DMDEDUC2,True,
1516,DEMO,WTMEC2YR,True,
1516,DEMO,SDMVPSU,True,
1516,DEMO,SDMVSTRA,True,
1516,DPQ,SEQN,True,
1516,DPQ,DPQ010,True,
1516,DPQ,DPQ020,True,
1516,DPQ,DPQ030,True,
1516,DPQ,DPQ040,True,
1516,DPQ,DPQ050,True,
1516,DPQ,DPQ060,True,
1516,DPQ,DPQ070,True,
1516,DPQ,DPQ080,True,
1516,DPQ,DPQ090,True,
1516,CBC,SEQN,True,
1516,CBC,LBXHGB,True,
1516,GHB,SEQN,True,
1516,GHB,LBXGH,True,
1516,BMX,SEQN,True,
1516,BMX,BMXBMI,True,
1516,BIOPRO,SEQN,True,
1516,BIOPRO,LBXSCR,True,
1516,SMQ,SEQN,True,
1516,SMQ,SMQ020,True,
1516,SMQ,SMQ040,True,
1516,DEMO,RACE_VARIABLE_USED,True,RIDRETH1
1516,DEMO,PREG_VARIABLE_USED,True,RIDEXPRG
1718,DEMO,SEQN,True,
1718,DEMO,RIDAGEYR,True,
1718,DEMO,RIAGENDR,True,
1718,DEMO,INDFMPIR,True,
1718,DEMO,DMDEDUC2,True,
1718,DEMO,WTMEC2YR,True,
1718,DEMO,SDMVPSU,True,
1718,DEMO,SDMVSTRA,True,
1718,DPQ,SEQN,True,
1718,DPQ,DPQ010,True,
1718,DPQ,DPQ020,True,
1718,DPQ,DPQ030,True,
1718,DPQ,DPQ040,True,
1718,DPQ,DPQ050,True,
1718,DPQ,DPQ060,True,
1718,DPQ,DPQ070,True,
1718,DPQ,DPQ080,True,
1718,DPQ,DPQ090,True,
1718,CBC,SEQN,True,
1718,CBC,LBXHGB,True,
1718,GHB,SEQN,True,
1718,GHB,LBXGH,True,
1718,BMX,SEQN,True,
1718,BMX,BMXBMI,True,
1718,BIOPRO,SEQN,True,
1718,BIOPRO,LBXSCR,True,
1718,SMQ,SEQN,True,
1718,SMQ,SMQ020,True,
1718,SMQ,SMQ040,True,
1718,DEMO,RACE_VARIABLE_USED,True,RIDRETH1
1718,DEMO,PREG_VARIABLE_USED,True,RIDEXPRG
2123,DEMO,SEQN,True,
2123,DEMO,RIDAGEYR,True,
2123,DEMO,RIAGENDR,True,
2123,DEMO,INDFMPIR,True,
2123,DEMO,DMDEDUC2,True,
2123,DEMO,WTMEC2YR,True,
2123,DEMO,SDMVPSU,True,
2123,DEMO,SDMVSTRA,True,
2123,DPQ,SEQN,True,
2123,DPQ,DPQ010,True,
2123,DPQ,DPQ020,True,
2123,DPQ,DPQ030,True,
2123,DPQ,DPQ040,True,
2123,DPQ,DPQ050,True,
2123,DPQ,DPQ060,True,
2123,DPQ,DPQ070,True,
2123,DPQ,DPQ080,True,
2123,DPQ,DPQ090,True,
2123,CBC,SEQN,True,
2123,CBC,LBXHGB,True,
2123,GHB,SEQN,True,
2123,GHB,LBXGH,True,
2123,BMX,SEQN,True,
2123,BMX,BMXBMI,True,
2123,BIOPRO,SEQN,True,
2123,BIOPRO,LBXSCR,True,
2123,SMQ,SEQN,True,
2123,SMQ,SMQ020,True,
2123,SMQ,SMQ040,True,
2123,DEMO,RACE_VARIABLE_USED,True,RIDRETH1
2123,DEMO,PREG_VARIABLE_USED,True,RIDEXPRG
